YearMonth,AWND,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,Crude_Oil_Price,Gasoline_Price,Domestic_Passengers,International_Passengers,Total_Traffic
2011-04-01,8.180333333333333,0.0,0.0,0.0,0.0,,,68.1,55.43333333333333,,109.53,4.189,3681121,1347095,5028216
2011-05-01,8.82516129032258,0.0,0.0,0.53,0.0,,,68.6774193548387,56.16129032258065,,100.9,4.218,4027351,1449713,5477064
2011-06-01,7.629,0.0,0.0,0.02,0.0,,,68.86666666666666,58.66666666666666,,96.26,3.951,4139190,1492526,5631716
2011-07-01,8.080645161290322,0.0,0.0,0.0,0.0,,,73.29032258064517,63.354838709677416,,97.3,3.847,4419758,1651584,6071342
2011-08-01,6.985161290322581,0.0,0.0,0.0,0.0,,,72.90322580645162,62.32258064516129,,86.33,3.805,4311627,1606897,5918524
2011-09-01,6.912000000000001,0.0,0.0,0.01,0.0,,,72.06666666666666,61.8,,85.52,3.955,3605849,1374471,4980320
2011-10-01,6.054516129032258,0.0,0.0,0.63,0.0,,,70.87096774193549,58.064516129032256,,86.32,3.881,3745491,1379113,5124604
2011-11-01,5.592333333333333,0.0,0.0,1.69,0.0,,,67.03333333333333,51.23333333333333,,97.16,3.847,3626855,1238251,4865106
2011-12-01,4.530645161290322,0.0,0.0,0.67,0.0,,,64.19354838709677,45.80645161290322,,98.56,3.645,3638344,1390300,5028644
2012-01-01,4.884516129032257,0.0,0.0,1.19,0.0,,,69.54838709677419,49.2258064516129,,100.27,3.777,3501096,1412393,4913489
2012-02-01,6.548965517241379,0.0,0.0,0.12,0.0,,,65.34482758620689,48.793103448275865,,102.2,4.061,3293171,1163341,4456512
2012-03-01,7.699032258064515,0.0,0.0,1.78,0.0,,,64.19354838709677,50.064516129032256,,106.16,4.431,3880636,1371921,5252557
2012-04-01,7.777,0.0,0.0,1.51,0.0,,,66.43333333333334,52.96666666666667,,103.32,4.303,3782508,1378620,5161128
2012-05-01,7.49741935483871,0.0,0.0,0.01,0.0,,,68.09677419354838,58.0,,94.66,4.36,3971107,1441839,5412946
2012-06-01,7.679666666666666,0.0,0.0,0.0,0.0,,,70.0,60.56666666666667,,82.3,4.095,4181372,1558532,5739904
2012-07-01,7.425483870967742,0.0,0.0,0.0,0.0,,,71.61290322580645,61.64516129032258,,87.9,3.815,4505945,1684381,6190326
2012-08-01,7.130322580645161,0.0,0.0,0.0,0.0,,,78.0,66.48387096774194,,94.13,4.114,4452064,1641281,6093345
2012-09-01,6.456333333333333,0.0,0.0,0.0,0.0,,,78.7,65.76666666666667,,94.51,4.182,3634688,1419569,5054257
2012-10-01,6.559354838709678,0.0,0.0,0.15,0.0,,,76.35483870967742,61.64516129032258,,89.49,4.464,3802226,1389245,5191471
2012-11-01,6.174,0.0,0.0,1.31,0.0,,,69.73333333333333,55.63333333333333,,86.53,3.876,3666610,1277063,4943673
2012-12-01,6.147741935483872,0.0,0.0,2.8200000000000003,0.0,,,62.25806451612903,50.80645161290322,,87.86,3.646,3863784,1414729,5278513
2013-01-01,5.679354838709678,0.0,0.0,1.3,0.0,,,65.70967741935483,47.25806451612903,,94.76,3.72,3631094,1419642,5050736
2013-02-01,6.5025,0.0,0.0,0.2,0.0,,,64.75,47.46428571428572,,95.31,4.224,3301697,1180594,4482291
2013-03-01,6.559677419354839,0.0,0.0,0.66,0.0,,,65.3225806451613,53.03225806451613,,92.94,4.256,4136911,1408612,5545523
2013-04-01,8.382333333333333,0.0,0.0,0.06,0.0,,61.2,68.3,56.0,,92.02,4.03,3927687,1382810,5310497
2013-05-01,7.821935483870967,0.0,0.0,0.39,0.0,,65.61290322580645,72.54838709677419,60.483870967741936,,94.51,4.042,4210814,1503142,5713956
2013-06-01,7.404666666666666,0.0,0.0,0.0,0.0,0.0,66.6,73.1,62.73333333333333,,95.77,4.051,4507505,1607009,6114514
2013-07-01,7.345483870967742,0.0,0.0,0.03,0.0,,68.03225806451613,73.93548387096774,64.0,,104.67,4.085,4687811,1779236,6467047
2013-08-01,7.10741935483871,0.0,0.0,0.0,0.0,,67.54838709677419,74.12903225806451,63.064516129032256,,106.57,3.913,4571785,1758383,6330168
2013-09-01,6.874666666666667,0.0,0.0,0.0,0.0,,69.36666666666666,76.73333333333333,63.56666666666667,,106.29,3.982,3815427,1492826,5308253
2013-10-01,6.364193548387097,0.0,0.0,0.02,0.0,,65.19354838709677,73.12903225806451,58.32258064516129,,100.54,3.789,4046692,1469113,5515805
2013-11-01,5.526,0.0,0.0,0.69,0.0,,63.03333333333333,72.4,55.766666666666666,,93.86,3.614,3717072,1339933,5057005
2013-12-01,5.007096774193548,0.0,0.0,0.3,0.0,,58.61290322580645,69.41935483870968,48.58064516129032,,97.63,3.658,4259092,1510839,5769931
2014-01-01,4.553225806451613,0.0,0.0,0.0,0.0,,60.67741935483871,71.64516129032258,51.0,,94.62,3.661,3877670,1541947,5419617
2014-02-01,6.231071428571428,0.0,0.0,2.79,0.0,,58.85714285714285,66.78571428571429,52.642857142857146,,100.82,3.757,3483719,1282309,4766028
2014-03-01,7.388387096774193,0.0,0.0,0.36,0.0,,61.70967741935484,69.12903225806451,55.61290322580645,,100.8,4.019,4278435,1506686,5785121
